ticker,name,sector,subsector,relationship_tags
XLE,Energy Select Sector SPDR,etf,energy,"{benchmark,sector_etf}"
XOP,SPDR S&P Oil & Gas Exploration & Production,etf,upstream,"{sector_etf}"
OIH,VanEck Oil Services,etf,services,"{sector_etf}"
ICLN,iShares Global Clean Energy,etf,renewables,"{sector_etf}"
TAN,Invesco Solar,etf,solar,"{sector_etf}"
URA,Global X Uranium,etf,uranium,"{sector_etf}"
XLU,Utilities Select Sector SPDR,etf,utilities,"{sector_etf}"
XOM,Exxon Mobil Corp,energy,integrated,"{integrated,permian,gulf_coast,refiner,lng}"
CVX,Chevron Corp,energy,integrated,"{integrated,permian,gulf_coast,refiner,lng}"
COP,ConocoPhillips,energy,upstream,"{upstream,permian,lng,alaska}"
EOG,EOG Resources Inc,energy,upstream,"{upstream,permian,eagle_ford}"
OXY,Occidental Petroleum Corp,energy,upstream,"{upstream,permian,carbon_capture}"
DVN,Devon Energy Corp,energy,upstream,"{upstream,permian}"
FANG,Diamondback Energy Inc,energy,upstream,"{upstream,permian}"
HES,Hess Corp,energy,upstream,"{upstream,guyana,bakken}"
APA,APA Corp,energy,upstream,"{upstream,permian,egypt,north_sea}"
CTRA,Coterra Energy Inc,energy,upstream,"{upstream,natural_gas,marcellus,permian}"
EQT,EQT Corp,energy,upstream,"{upstream,natural_gas,appalachia}"
AR,Antero Resources Corp,energy,upstream,"{upstream,natural_gas,appalachia}"
MPC,Marathon Petroleum Corp,energy,refining,"{refiner,gulf_coast,midcon}"
PSX,Phillips 66,energy,refining,"{refiner,gulf_coast,midstream,chemicals}"
VLO,Valero Energy Corp,energy,refining,"{refiner,gulf_coast,ethanol}"
DINO,HF Sinclair Corp,energy,refining,"{refiner,rockies,midcon}"
PBF,PBF Energy Inc,energy,refining,"{refiner,east_coast,west_coast}"
WMB,Williams Companies Inc,energy,midstream,"{midstream,natural_gas,pipeline}"
KMI,Kinder Morgan Inc,energy,midstream,"{midstream,natural_gas,pipeline,co2}"
OKE,ONEOK Inc,energy,midstream,"{midstream,ngl,pipeline}"
TRGP,Targa Resources Corp,energy,midstream,"{midstream,ngl,permian}"
ET,Energy Transfer LP,energy,midstream,"{midstream,pipeline,lng}"
LNG,Cheniere Energy Inc,energy,lng,"{lng,gulf_coast,exporter}"
SLB,Schlumberger NV,energy,services,"{services,international,offshore}"
HAL,Halliburton Co,energy,services,"{services,north_america,pressure_pumping}"
BKR,Baker Hughes Co,energy,services,"{services,lng_equipment,international}"
NEE,NextEra Energy Inc,utilities,regulated,"{utility,florida,renewables,nuclear}"
DUK,Duke Energy Corp,utilities,regulated,"{utility,southeast,nuclear}"
SO,Southern Co,utilities,regulated,"{utility,southeast,nuclear,natural_gas}"
CEG,Constellation Energy Corp,utilities,generation,"{nuclear,merchant_power,data_center_demand}"
VST,Vistra Corp,utilities,generation,"{merchant_power,natural_gas,nuclear,ercot}"
FSLR,First Solar Inc,renewables,solar,"{solar,manufacturer,ira_credits}"
ENPH,Enphase Energy Inc,renewables,solar,"{solar,residential,inverters}"
CCJ,Cameco Corp,uranium,mining,"{uranium,nuclear_fuel}"
DAL,Delta Air Lines Inc,second_order,airlines,"{jet_fuel_consumer}"
UAL,United Airlines Holdings Inc,second_order,airlines,"{jet_fuel_consumer}"
AAL,American Airlines Group Inc,second_order,airlines,"{jet_fuel_consumer}"
LUV,Southwest Airlines Co,second_order,airlines,"{jet_fuel_consumer}"
DOW,Dow Inc,second_order,chemicals,"{natural_gas_consumer,ngl_consumer,gulf_coast}"
LYB,LyondellBasell Industries NV,second_order,chemicals,"{natural_gas_consumer,ngl_consumer,gulf_coast}"
FRO,Frontline plc,second_order,shipping,"{tanker,crude_shipping}"
FLNG,FLEX LNG Ltd,second_order,shipping,"{lng_shipping}"
CVI,CVR Energy Inc,energy,refining,"{refiner,midcon,small_cap}"
DK,Delek US Holdings Inc,energy,refining,"{refiner,gulf_coast,texas,small_cap}"
TALO,Talos Energy Inc,energy,upstream,"{upstream,gulf_of_mexico,offshore}"
WTI,W&T Offshore Inc,energy,upstream,"{upstream,gulf_of_mexico,offshore,shelf}"
MUR,Murphy Oil Corp,energy,upstream,"{upstream,gulf_of_mexico,offshore,eagle_ford}"
CNX,CNX Resources Corp,energy,upstream,"{upstream,natural_gas,appalachia}"
RRC,Range Resources Corp,energy,upstream,"{upstream,natural_gas,appalachia}"
RIG,Transocean Ltd,energy,services,"{services,offshore_driller,deepwater}"
VAL,Valaris Ltd,energy,services,"{services,offshore_driller}"
HLX,Helix Energy Solutions Group Inc,energy,services,"{services,offshore,well_intervention,gulf_of_mexico}"
OII,Oceaneering International Inc,energy,services,"{services,offshore,subsea}"
TDW,Tidewater Inc,energy,services,"{services,offshore_vessels}"
ETR,Entergy Corp,utilities,regulated,"{utility,louisiana,mississippi,gulf_coast,nuclear}"
MTZ,MasTec Inc,second_order,construction,"{pipeline_contractor,grid_contractor}"
PRIM,Primoris Services Corp,second_order,construction,"{pipeline_contractor,renewables_epc}"
PWR,Quanta Services Inc,second_order,construction,"{grid_contractor,pipeline_contractor}"
STNG,Scorpio Tankers Inc,second_order,shipping,"{tanker,product_shipping}"
DHT,DHT Holdings Inc,second_order,shipping,"{tanker,crude_shipping,vlcc}"
TNK,Teekay Tankers Ltd,second_order,shipping,"{tanker,crude_shipping}"
INSW,International Seaways Inc,second_order,shipping,"{tanker,crude_shipping,product_shipping}"
